county_name,Total,Hispanic or Latino,Not Hispanic or Latino:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Foreign Born
"Anderson County, Texas",57922,11111,46811,33098,11430,193,381,13,113,2290
"Andrews County, Texas",18610,10400,8210,7405,192,96,102,0,49,2335
"Angelina County, Texas",86395,19732,66663,49970,12872,200,891,30,196,5998
"Aransas County, Texas",23830,6158,17672,15816,241,142,480,15,78,1259
"Archer County, Texas",8560,742,7818,7356,30,71,18,0,21,215
"Armstrong County, Texas",1848,144,1704,1593,6,17,10,0,2,42
"Atascosa County, Texas",48981,31178,17803,16066,340,116,170,15,177,3293
"Austin County, Texas",30167,8052,22115,18480,2352,78,201,8,107,2385
"Bailey County, Texas",6904,4540,2364,2190,49,24,8,0,27,975
"Bandera County, Texas",20851,4010,16841,15595,102,101,95,11,71,798
"Bastrop County, Texas",97216,41484,55732,45751,5460,312,718,63,417,8357
"Baylor County, Texas",3465,439,3026,2797,52,11,9,0,8,66
"Bee County, Texas",31047,19392,11655,8600,2316,54,211,2,65,695
"Bell County, Texas",370647,93467,277180,156780,80759,1448,10884,3454,2063,14268
"Bexar County, Texas",2009324,1190958,818366,535732,147875,4554,65217,2726,8218,182984
"Blanco County, Texas",11374,2092,9282,8707,68,36,38,0,70,501
"Borden County, Texas",631,86,545,528,1,0,0,0,1,3
"Bosque County, Texas",18235,3321,14914,13621,244,83,80,3,29,1025
"Bowie County, Texas",92893,7602,85291,55855,23084,554,1082,69,332,2213
"Brazoria County, Texas",372031,115202,256829,161833,53668,1022,26231,129,1374,24428
"Brazos County, Texas",233849,63067,170782,123035,23569,502,14621,210,1009,15044
"Brewster County, Texas",9546,3963,5583,4948,162,30,94,11,56,444
"Briscoe County, Texas",1435,368,1067,1008,17,4,0,0,3,114
"Brooks County, Texas",7076,6242,834,724,8,9,29,0,12,710
"Brown County, Texas",38095,8211,29884,26672,1353,134,269,27,96,1410
"Burleson County, Texas",17642,3712,13930,11258,1852,65,70,0,34,913
"Burnet County, Texas",49130,11199,37931,34810,579,183,424,14,147,2932
